Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,rainfall
2015-12-13,44.0,20.0,291.0803527832031,4.801240831613541,11.782142857142858,21.18857142857143,8.687852119750856,1.3104156577885397
2015-12-20,44.0,20.0,291.239990234375,0.8532348871231079,15.51428571428572,21.28571428571428,9.314285714285715,2.885714285714286
2015-12-27,44.4,20.0,290.8512756347656,1.6615033745765686,12.157142857142858,20.574285714285715,8.687852119750856,1.3104156577885397
2016-01-03,44.8,20.0,290.4625610351562,0.8532348871231084,13.71904761904762,19.839999999999996,8.687852119750856,1.3104156577885397
2016-01-10,45.2,20.0,290.0738464355469,0.7449082136154175,13.361904761904762,20.03571428571428,8.687852119750856,1.3104156577885397
2016-01-17,45.6,20.0,289.6851318359375,1.5118486285209656,13.361904761904762,18.957142857142856,8.687852119750856,1.3104156577885397
2016-01-24,46.0,20.0,289.2964172363281,0.636581540107727,14.04285714285714,19.77142857142857,9.257142857142858,0.6714285714285715
2016-01-31,36.0,20.0,289.6007080078125,2.387115716934204,10.52857142857143,17.34285714285714,3.742857142857143,1.857142857142857
2016-02-07,36.0,20.0,289.3328552246094,1.1949395140012105,13.038095238095236,17.77857142857143,8.687852119750856,1.3104156577885397
2016-02-14,36.0,20.0,289.0650024414062,0.5611212849617004,14.54285714285714,17.42857142857143,11.11428571428571,4.7
2016-02-21,36.0,20.0,288.57047526041663,1.6496038635571797,11.848571428571427,17.70285714285714,8.687852119750856,1.3104156577885397
2016-02-28,36.0,20.0,288.07594807942706,1.7954180439313256,11.299999999999999,17.659523809523808,8.687852119750856,1.3104156577885397
2016-03-06,36.0,40.0,287.5814208984375,2.000574588775635,10.41428571428571,16.57142857142857,2.971428571428572,0.08571428571428572
2016-03-13,36.0,20.0,287.2792663574219,2.824558258056641,9.714285714285714,17.4,1.771428571428572,0.6285714285714287
2016-03-20,36.0,20.0,287.4167785644531,8.105078538258871,10.985714285714284,17.62857142857143,8.687852119750856,1.3104156577885397
2016-03-27,36.0,20.0,287.5542907714844,19.49010276794434,11.34285714285714,17.44285714285714,3.914285714285714,0.46
2016-04-03,33.5,20.0,287.54393005371094,7.890442609786988,12.11190476190476,18.57551020408163,8.687852119750856,1.3104156577885397
2016-04-10,31.0,20.0,287.5335693359375,5.127988815307617,12.47142857142857,17.51428571428572,6.385714285714286,1.971428571428571
2016-04-17,36.0,20.0,287.7671508789062,4.119120597839355,14.52857142857143,19.41428571428571,9.242857142857144,2.114285714285714
2016-04-24,36.0,20.0,288.3814392089844,1.441350221633911,14.2,20.12857142857143,6.985714285714287,2.871428571428571
2016-05-01,122.0,80.0,289.2192687988281,16.58877563476562,14.52857142857143,21.55714285714285,6.985714285714286,0.01428571428571429
2016-05-08,323.0,640.0,289.4757080078125,3.575430870056152,16.14285714285714,22.94285714285714,9.62857142857143,9.471428571428572
2016-05-15,199.0,200.0,289.6557006835938,1.653966665267944,14.77142857142857,19.32857142857143,9.514285714285714,2.34
2016-05-22,186.0,120.0,290.3028564453125,11.7452564239502,16.31428571428571,22.27142857142857,9.92857142857143,0.04285714285714286
2016-05-29,205.0,80.0,290.6042785644531,1.614705801010132,15.9,22.6,8.828571428571427,0.1714285714285714
2016-06-05,120.5,80.0,290.739990234375,10.579232501983643,17.118367346938776,23.530158730158732,8.687852119750856,1.3104156577885397
2016-06-12,36.0,20.0,290.8757019042969,23.46039962768555,19.57142857142857,25.92857142857143,13.45714285714286,0.0
2016-06-19,36.0,20.0,290.4750061035156,14.42183399200439,18.0,23.84285714285715,11.78571428571429,0.1428571428571428
2016-06-26,36.0,20.0,291.1728515625,11.73927688598633,19.12857142857143,26.72857142857143,11.94285714285714,0.0
2016-07-03,31.0,80.0,292.4164123535156,3.861324071884155,19.58571428571429,26.57142857142858,13.48571428571429,0.0
2016-07-10,151.0,720.0,293.8028564453125,3.509539842605591,20.55714285714286,28.01428571428571,14.97142857142857,0.0
2016-07-17,226.0,20.0,293.75927734375,2.141557693481445,20.6,29.31428571428572,13.01428571428572,0.0
2016-07-24,63.0,20.0,295.3500061035156,2.170608997344971,20.81428571428571,28.75714285714286,12.74285714285714,0.01428571428571429
2016-07-31,71.66666666666667,20.0,295.4264322916667,2.475157380104065,20.82857142857143,28.646428571428576,8.687852119750856,1.3104156577885397
2016-08-07,80.33333333333333,20.0,295.50285847981775,1.9542976617813108,21.090476190476192,28.92040816326531,8.687852119750856,1.3104156577885397
2016-08-14,89.0,160.0,295.5792846679688,2.078922986984253,22.52857142857143,31.3,13.85714285714286,0.0
2016-08-21,63.0,20.0,296.057861328125,1.426100969314575,20.88571428571428,27.04285714285715,14.27142857142857,0.0
2016-08-28,63.0,20.0,295.7585754394531,1.155381083488464,21.15714285714286,31.44285714285714,12.62857142857143,0.0
2016-09-04,49.5,20.0,295.72679138183594,1.5811854124069211,20.21190476190476,28.569047619047623,8.687852119750856,1.3104156577885397
2016-09-11,36.0,20.0,295.6950073242188,1.173344850540161,21.15714285714285,29.21428571428572,14.9,0.0
2016-09-18,36.0,40.0,293.5757141113281,2.072177171707153,18.2,27.01428571428571,10.1,0.9285714285714286
2016-09-25,36.0,20.0,292.7656860351562,1.852449297904968,17.34285714285714,25.4,9.5,0.0
2016-10-02,36.0,20.0,293.0632019042969,1.649215131998062,17.917142857142853,27.18809523809524,8.687852119750856,1.3104156577885397
2016-10-09,36.0,20.0,293.3607177734375,1.498889207839966,15.01428571428571,24.87142857142857,6.128571428571427,0.0
2016-10-16,36.0,20.0,292.72071838378906,1.476487358411153,17.09428571428571,25.857142857142858,8.687852119750856,1.3104156577885397
2016-10-23,36.0,40.0,292.0807189941406,1.078123569488525,17.87142857142857,25.18571428571429,11.78571428571429,2.814285714285714
2016-10-30,36.0,40.0,292.5707092285156,1.161957780520121,15.510714285714283,23.102380952380955,8.687852119750856,1.3104156577885397
2016-11-06,36.0,40.0,293.0606994628906,0.9088605642318726,17.04285714285714,23.45714285714286,10.07142857142857,1.614285714285714
2016-11-13,36.0,40.0,292.43748474121094,1.5835193097591398,14.499999999999998,22.333333333333332,8.687852119750856,1.3104156577885397
2016-11-20,36.0,40.0,291.8142700195312,3.201073169708252,12.11428571428571,22.22857142857143,4.1,1.642857142857143
2016-11-27,36.0,20.0,291.10498046875,1.14601993560791,10.97142857142857,17.47142857142857,5.071428571428571,6.8
2016-12-04,36.0,20.0,291.15855407714844,2.0450870990753174,12.377142857142854,20.685714285714287,8.687852119750856,1.3104156577885397
2016-12-11,36.0,20.0,291.2121276855469,1.78816819190979,14.34285714285714,20.78571428571428,9.5,0.04285714285714286
2016-12-18,40.0,20.0,290.8764190673828,1.805890957514445,11.091428571428569,19.802857142857142,8.687852119750856,1.3104156577885397
2016-12-25,44.0,20.0,290.5407104492188,2.483484745025635,7.414285714285714,19.48571428571429,0.1285714285714286,0.01428571428571429
2017-01-01,31.0,20.0,290.12428283691406,1.9313168923060102,9.075,18.494285714285716,8.687852119750856,1.3104156577885397
2017-01-08,61.0,20.0,289.7078552246094,1.522297739982605,10.61428571428571,19.04285714285714,4.685714285714286,5.485714285714287
2017-01-15,48.5,20.0,289.4171447753906,2.278247078259786,8.792857142857141,18.47666666666667,8.687852119750856,1.3104156577885397
2017-01-22,36.0,20.0,289.1264343261719,2.828958749771118,3.928571428571428,15.68571428571429,-4.542857142857143,0.0
2017-01-29,47.5,20.0,288.76177978515625,1.8242081006368,9.989285714285712,18.162380952380957,8.687852119750856,1.3104156577885397
2017-02-05,59.0,20.0,288.3971252441406,1.121367812156677,13.21428571428571,17.38333333333334,7.142857142857143,3.700000000000001
2017-02-12,47.5,20.0,288.2560577392578,2.055124799410502,9.78095238095238,18.842380952380957,8.687852119750856,1.3104156577885397
2017-02-19,36.0,20.0,288.114990234375,2.215047836303711,12.2,19.21428571428572,5.985714285714286,1.4
2017-02-26,150.33333333333331,20.0,288.326416015625,2.4876616398493447,13.47142857142857,18.27666666666667,8.687852119750856,1.3104156577885397
2017-03-05,264.66666666666663,20.0,288.537841796875,3.1708085536956783,13.017857142857142,18.924404761904768,8.687852119750856,1.3104156577885397
2017-03-12,379.0,20.0,288.749267578125,4.126569271087646,15.0,22.88571428571429,6.857142857142859,0.04285714285714286
2017-03-19,219.0,20.0,288.60321044921875,2.9165660738945007,13.407142857142858,20.800000000000004,8.687852119750856,1.3104156577885397
2017-03-26,59.0,40.0,288.4571533203125,1.706562876701355,11.65714285714286,16.21428571428572,6.471428571428571,7.442857142857143
2017-04-02,54.5,40.0,288.73785400390625,2.624872803688049,14.728571428571428,21.97714285714286,8.687852119750856,1.3104156577885397
2017-04-09,50.0,20.0,289.0185546875,2.041486263275146,14.77142857142857,24.88571428571428,5.242857142857143,0.01428571428571429
2017-04-16,110.5,20.0,289.4196319580078,1.5539458394050596,14.764285714285712,22.169047619047618,8.687852119750856,1.3104156577885397
2017-04-23,171.0,160.0,289.8207092285156,1.013668298721313,17.48571428571428,25.15714285714285,10.34285714285714,0.0
2017-04-30,84.0,120.0,290.4664306640625,1.454065918922424,15.14285714285714,20.74285714285714,9.542857142857143,0.8142857142857142
2017-05-07,75.0,120.0,290.7864227294922,1.6746235191822052,16.697142857142858,24.116666666666664,8.687852119750856,1.3104156577885397
2017-05-14,66.0,20.0,291.1064147949219,1.033668994903564,16.84285714285715,23.12857142857143,10.08571428571429,2.957142857142858
2017-05-21,52.0,20.0,291.1471252441406,3.197090864181519,19.24285714285714,26.71428571428572,11.65714285714286,0.0
2017-05-28,66.5,20.0,291.80462646484375,2.062170684337616,18.690476190476193,25.98809523809524,8.687852119750856,1.3104156577885397
2017-06-04,81.0,20.0,292.4621276855469,1.366729974746704,18.72857142857143,24.07142857142858,13.42857142857143,0.02857142857142857
2017-06-11,52.0,120.0,291.912841796875,2.651192903518677,19.32857142857143,26.7,11.3,0.0
2017-06-18,54.0,20.0,293.4006958007812,0.654093861579895,22.85714285714286,31.65714285714285,14.55714285714286,0.0
2017-06-25,56.0,40.0,295.3021240234375,0.6532028913497925,23.01428571428571,29.73333333333333,16.31428571428571,1.2
2017-07-02,42.5,30.0,293.5928649902344,6.963577270507812,19.75714285714286,26.07142857142858,12.97142857142857,0.0
2017-07-09,49.0,20.0,292.1499938964844,3.208394527435303,20.2,26.62857142857143,14.57142857142857,0.0
2017-07-16,48.0,20.0,292.4404703776042,3.0075624585151672,21.228571428571428,28.003174603174603,8.687852119750856,1.3104156577885397
2017-07-23,47.0,20.0,292.730946858724,3.7923489809036255,20.82142857142857,28.26984126984127,8.687852119750856,1.3104156577885397
2017-07-30,46.0,20.0,293.0214233398438,1.205075144767761,20.31428571428571,27.22857142857143,13.51428571428571,0.0
2017-08-06,62.0,20.0,292.9314270019532,1.58908075094223,20.357142857142854,27.525714285714287,8.687852119750856,1.3104156577885397
2017-08-13,78.0,20.0,292.8414306640625,1.5567181507746375,20.409523809523805,27.717142857142857,8.687852119750856,1.3104156577885397
