Date,dsp_toxins,asp_toxins,psp_toxins
2017-06-18,81.0,1.8,
2017-06-25,43.0,1.8,
2017-07-02,207.0,1.8,
2017-07-09,215.0,1.8,71.0
2017-07-16,161.8,,
2017-07-23,80.0,,71.0
2017-07-30,264.0,1.8,71.0
2017-08-06,206.0,1.8,71.0
2017-08-13,190.2,,
2017-08-20,292.0,32.4,61.0
2017-08-27,109.0,4.2,88.0
2017-09-03,81.5,1.8,1622.5
2017-09-10,75.0,1.8,71.0
2017-09-17,86.5,,
2017-09-24,32.0,1.8,94.0
2017-10-01,135.0,3.0,102.0
2017-10-08,60.0,1.8,71.0
2017-10-15,70.0,,
2017-10-22,42.0,1.8,71.0
2017-10-29,81.0,1.8,71.0
2017-11-05,45.0,1.8,71.0
2017-11-12,105.0,1.8,64.5
2017-11-19,35.0,1.8,71.0
2017-11-26,36.0,1.8,71.0
2017-12-03,30.0,1.8,71.0
2017-12-10,81.0,1.8,71.0
2017-12-17,56.0,1.8,71.0
2017-12-24,36.0,1.8,71.0
2017-12-31,36.0,1.8,71.0
2018-01-07,36.0,1.8,71.0
2018-01-14,36.0,1.8,71.0
2018-01-21,33.0,1.8,71.0
2018-01-28,36.0,1.8,71.0
2018-02-04,36.0,1.8,71.0
2018-02-11,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0
2018-03-11,36.0,1.8,71.0
2018-03-18,28.0,1.8,71.0
2018-03-25,36.0,1.8,71.0
2018-04-01,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0
2018-04-22,237.0,1.8,71.0
2018-04-29,138.0,1.8,
2018-05-06,294.0,1.8,71.0
2018-05-13,86.0,1.8,71.0
2018-05-20,36.0,1.8,71.0
2018-05-27,384.0,1.8,71.0
2018-06-03,550.0,,
2018-06-10,550.0,1.8,71.0
2018-06-17,536.0,3.7,71.0
2018-06-24,158.0,1.8,71.0
2018-07-01,36.0,3.3,71.0
2018-07-08,36.0,1.8,71.0
2018-07-15,36.0,1.8,71.0
2018-07-22,36.0,1.8,71.0
2018-07-29,36.0,1.8,71.0
2018-08-05,36.0,1.8,71.0
2018-08-12,36.0,1.8,71.0
2018-08-19,36.0,1.8,71.0
2018-08-26,36.0,1.8,5.0
2018-09-02,36.0,1.8,71.0
2018-09-09,36.0,1.8,71.0
2018-09-16,36.0,1.8,71.0
