Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,mean_wind_intensity,mean_wind_dir,rainfall
2015-01-11,24.0,20.0,289.4685668945312,0.3656660616397858,10.24285714285714,15.9,4.857142857142857,3.228571428571429,69.14285714285714,0.04285714285714286
2015-01-18,29.0,20.0,288.9342651367188,0.584810197353363,11.38571428571429,15.51428571428572,6.799999999999999,4.714285714285714,218.8571428571429,6.485714285714287
2015-01-25,32.0,20.0,287.9814147949219,0.5083491802215576,10.97142857142857,14.42857142857143,7.228571428571429,6.342857142857143,210.5714285714286,0.6285714285714287
2015-02-01,36.0,20.0,287.7642822265625,0.5170156955718994,11.41428571428571,14.18571428571429,8.657142857142857,6.442857142857142,145.8571428571429,0.5571428571428572
2015-02-08,25.0,20.0,287.067138671875,0.5212876796722412,9.014285714285714,12.65714285714286,4.985714285714286,5.314285714285715,167.8571428571429,0.5714285714285714
2015-02-15,16.0,20.0,287.1642761230469,1.106679320335388,10.57142857142857,14.01428571428571,6.685714285714285,4.371428571428572,190.7142857142857,1.271428571428571
2015-02-22,36.0,20.0,287.1557006835938,0.5066356062889099,11.41428571428571,15.57142857142857,8.057142857142859,5.928571428571429,121.1428571428571,0.3428571428571429
2015-03-01,36.0,20.0,286.8414306640625,0.7761245965957642,11.81428571428571,15.41428571428571,8.514285714285714,6.671428571428572,157.5714285714286,0.09999999999999999
2015-03-08,27.0,20.0,287.2799987792969,1.124078392982483,13.01428571428572,17.14285714285715,8.657142857142857,5.414285714285714,53.42857142857143,0.0
2015-03-15,31.5,20.0,287.30213928222656,1.0178587138652802,12.096938775510205,16.04285714285714,8.069642857142858,5.143877551020409,124.84693877551021,0.34785714285714275
2015-03-22,36.0,20.0,287.3242797851562,0.9116390347480774,12.896938775510202,17.394047619047623,7.1,4.996938775510204,119.70408163265304,0.3221428571428572
2015-03-29,23.0,20.0,287.5685729980469,1.756326198577881,13.509183673469385,18.084523809523812,9.278571428571428,5.027551020408163,123.72448979591839,0.665
2015-04-05,36.0,20.0,288.2928466796875,2.407258749008179,14.85,19.625,10.4,3.55,81.5,0.025
2015-04-12,42.0,980.0,288.4814147949219,1.183950066566467,14.0,17.48571428571429,10.15714285714286,4.757142857142857,101.7142857142857,1.142857142857143
2015-04-19,320.0,2960.0,289.2357177734375,1.27495801448822,14.61428571428571,18.58571428571429,10.47142857142857,4.285714285714286,131.8571428571429,2.057142857142857
2015-04-26,190.0,100.0,289.19140625,1.674706697463989,14.85714285714286,19.04285714285714,10.87142857142857,4.585714285714286,218.8571428571429,1.028571428571428
2015-05-03,124.0,40.0,289.6257019042969,2.591140031814575,14.580357142857142,18.371428571428577,13.9,4.229761904761904,136.57142857142858,0.7089285714285714
2015-05-10,64.0,40.0,289.8185729980469,7.939918041229248,14.580357142857142,18.814285714285717,11.16,2.75,220.0,0.0
2015-05-17,71.0,240.0,290.2071228027344,1.178537845611572,14.490476190476189,19.042857142857144,11.35,5.449999999999999,65.5,0.0
2015-05-24,40.0,20.0,290.1742858886719,0.7728573083877563,14.735714285714284,18.742857142857147,11.747619047619047,4.267857142857142,159.05357142857144,0.3428571428571428
2015-05-31,88.0,60.0,291.8528442382812,0.5323780179023743,14.857142857142856,18.92857142857143,12.385714285714286,4.261904761904762,168.11904761904765,2.220446049250313e-16
2015-06-07,75.5,20.0,292.3507080078125,0.45136451721191406,16.131994047619045,19.042857142857148,13.9,4.1,142.75000000000003,2.220446049250313e-16
2015-06-14,63.0,60.0,292.8485717773438,0.3703510165214539,16.71436011904762,21.250357142857144,11.868670634920635,4.1,142.75000000000003,4.440892098500626e-16
2015-06-21,117.0,5764.0,292.6371459960938,1.129539728164673,18.2,24.85,9.325,6.4625,124.375,0.04965986394557847
2015-06-28,114.0,360.0,292.9499816894531,0.6337422132492065,18.635714285714286,24.6875,11.348214285714285,7.666071428571429,145.69642857142856,4.440892098500626e-16
2015-07-05,150.0,20.0,292.86427307128906,3.2135412096977234,18.97619047619047,24.85,12.341666666666667,7.41547619047619,130.60714285714283,2.220446049250313e-16
2015-07-12,186.0,30.0,292.778564453125,5.79334020614624,19.239285714285714,24.525,13.259821428571428,7.519940476190476,100.26785714285712,0.0047619047619049115
2015-07-19,107.0,20.0,292.345703125,2.09471321105957,18.2,24.85,9.325,7.475,183.25,0.0
2015-07-26,92.0,20.0,293.0057067871094,1.660292863845825,19.07142857142857,24.2,13.37142857142857,7.857142857142857,108.1428571428571,0.0
2015-08-02,99.0,20.0,291.9485778808594,3.70740008354187,19.65714285714285,24.97142857142857,14.32857142857143,6.914285714285713,100.4285714285714,0.01428571428571429
2015-08-09,59.0,20.0,291.6357116699219,5.666310787200928,20.02857142857143,25.48571428571429,16.01428571428571,7.833333333333333,9.25,0.0
2015-08-16,57.0,420.0,291.5828552246094,2.099884271621704,18.85714285714286,24.22857142857143,15.07142857142857,7.519940476190476,100.26785714285712,0.0
2015-08-23,67.0,20.0,291.6399841308594,5.68354606628418,19.41428571428571,24.18571428571428,15.2,7.519940476190476,100.26785714285712,0.0
2015-08-30,44.0,100.0,292.1714172363281,3.324703931808472,20.35714285714286,25.51428571428571,15.81428571428571,7.534920634920634,72.60714285714283,0.0
2015-09-06,37.0,40.0,291.5556945800781,4.3443603515625,18.5,23.0,15.11666666666667,7.373809523809523,54.8392857142857,0.0
2015-09-13,168.0,20.0,291.6728515625,6.394110202789307,18.37142857142857,23.51428571428571,13.34285714285714,5.416666666666667,109.125,0.02857142857142857
