Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,rainfall
2015-01-11,23.0,20.0,286.4471435546875,3.79768705368042,8.485714285714286,14.34285714285714,4.0,0.0
2015-01-18,76.0,20.0,286.1014099121094,1.200525522232056,9.742857142857142,13.55714285714286,6.485714285714286,8.857142857142858
2015-01-25,31.0,20.0,285.7842712402344,1.412805557250977,9.728571428571428,13.27142857142857,6.2,2.828571428571429
2015-02-01,22.0,20.0,286.1657104492188,1.905049920082092,10.44285714285714,13.85714285714286,6.271428571428571,2.442857142857143
2015-02-08,33.0,20.0,285.61572265625,1.99379575252533,8.657142857142857,12.08571428571429,4.457142857142857,2.271428571428571
2015-02-15,36.0,20.0,285.2699890136719,1.587336659431458,11.42857142857143,15.42857142857143,8.542857142857143,1.771428571428572
2015-02-22,23.0,20.0,285.4228515625,2.567541599273682,11.68571428571429,15.22857142857143,8.27142857142857,2.157142857142857
2015-03-01,36.0,20.0,285.5099792480469,2.207442045211792,12.22857142857143,14.61428571428572,9.62857142857143,1.657142857142857
2015-03-08,33.666666666666664,20.0,285.63808186848956,2.7112278938293457,12.81904761904762,15.942857142857147,9.88095238095238,2.620536796536797
2015-03-15,31.333333333333332,20.0,285.7661844889323,3.2150137424468994,13.40952380952381,17.271428571428572,10.133333333333331,2.620536796536797
2015-03-22,29.0,20.0,285.894287109375,3.718799591064453,14.0,18.6,10.38571428571428,0.07142857142857142
2015-03-29,34.0,20.0,285.9928588867188,3.309813976287842,12.57142857142857,15.34285714285714,10.02857142857143,0.01428571428571429
2015-04-05,36.0,20.0,286.6242980957031,4.239582061767578,16.7,22.9,11.85714285714286,0.0
2015-04-12,35.0,20.0,287.1428527832031,2.434362411499023,16.01428571428572,20.81428571428571,12.12857142857143,0.9
2015-04-19,28.0,20.0,287.9299926757812,1.731589078903198,16.27142857142857,20.17142857142857,12.58571428571429,3.771428571428571
2015-04-26,121.0,40.0,288.4271240234375,1.153018474578857,15.52857142857143,19.11428571428571,12.12857142857143,3.771428571428571
2015-05-03,126.0,20.0,289.0714111328125,1.182042360305786,16.15714285714285,18.94285714285714,13.15714285714286,6.242857142857143
2015-05-10,72.0,80.0,289.2756958007812,1.75838577747345,16.61428571428572,20.57142857142857,13.21428571428571,6.685714285714286
2015-05-17,147.0,40.0,290.0414123535156,2.152575492858887,18.44285714285714,23.07142857142857,14.22857142857143,0.0
2015-05-24,78.0,20.0,288.2257080078125,13.41872692108154,16.9,20.34285714285715,12.95714285714286,0.0
2015-05-31,51.0,20.0,289.0185546875,11.54547119140625,18.91428571428571,23.22857142857143,14.47142857142857,0.0
2015-06-07,27.0,20.0,289.2185668945312,7.169189453125,17.45714285714286,21.34285714285714,14.3,0.7857142857142857
2015-06-14,72.0,20.0,290.2456970214844,1.157908201217651,18.11666666666667,21.71666666666667,15.41666666666667,8.76
2015-06-21,65.0,20.0,291.9785766601562,0.9825806617736816,22.44285714285714,28.62857142857143,16.78571428571428,0.0
2015-06-28,72.0,20.0,292.2042846679688,0.8360881805419922,19.3,22.48571428571429,16.47142857142857,0.02857142857142857
2015-07-05,50.0,20.0,291.9800109863281,0.788657546043396,20.05714285714285,24.72857142857143,16.37142857142857,0.0
2015-07-12,31.0,80.0,291.5885620117188,3.752487421035767,19.61428571428572,23.32857142857143,16.52857142857143,0.0
2015-07-19,53.0,20.0,291.5814208984375,2.153654336929321,20.34285714285715,25.21428571428572,17.5,0.0
2015-07-26,89.0,20.0,291.6742858886719,6.65343189239502,20.38571428571428,24.12857142857143,16.97142857142857,0.02857142857142857
2015-08-02,71.0,40.0,291.1785583496094,5.520833015441895,20.82857142857143,24.54285714285714,18.15714285714285,0.2142857142857143
2015-08-09,186.0,20.0,291.1428527832031,10.24276924133301,19.8,25.2,15.11428571428572,0.0
2015-08-16,387.0,20.0,290.2742919921875,3.358314990997314,19.44285714285715,23.44285714285714,16.64285714285715,0.0
2015-08-23,149.0,20.0,290.6385498046875,11.83911609649658,19.51428571428571,24.32857142857143,16.24285714285714,0.4571428571428572
2015-08-30,202.25,20.0,291.1656951904297,10.679791450500488,19.664285714285715,24.271428571428572,16.37857142857143,2.620536796536797
2015-09-06,255.5,20.0,291.6928405761719,9.520466804504395,19.81428571428572,24.21428571428572,16.51428571428572,0.02857142857142857
2015-09-13,276.0,20.0,291.3299865722656,8.27140998840332,18.54285714285714,22.47142857142857,14.92857142857143,0.6428571428571429
2015-09-20,189.0,20.0,291.0728454589844,3.678722620010376,18.12857142857143,22.67142857142857,13.38571428571429,9.62857142857143
2015-09-27,204.0,20.0,290.5971374511719,7.225008964538574,17.02857142857143,20.84285714285715,14.32857142857143,0.0
2015-10-04,161.0,20.0,290.5828552246094,7.050277233123779,18.68571428571428,23.87142857142857,14.4,1.5
2015-10-11,154.0,40.0,290.4642944335938,2.056793928146362,17.87142857142857,21.2,14.61428571428571,6.085714285714286
2015-10-18,85.0,20.0,290.8714294433594,2.923531055450439,19.31428571428571,24.58571428571429,16.02857142857143,5.342857142857143
2015-10-25,153.0,20.0,290.8585815429688,3.00907826423645,18.35714285714286,22.18571428571428,14.98571428571429,0.9285714285714286
2015-11-01,87.0,20.0,290.5457153320312,1.523468017578125,16.98571428571428,20.47142857142857,14.32857142857143,8.142857142857142
2015-11-08,156.0,20.0,290.5885620117188,1.820078134536743,17.88571428571429,21.48571428571429,15.52857142857143,9.714285714285714
2015-11-15,91.0,20.0,290.6642761230469,4.556825160980225,15.71428571428572,20.97142857142857,11.51428571428571,0.02857142857142857
