,Date,dsp_toxins,asp_toxins,psp_toxins
155,2017-12-31,39.5,,
156,2018-01-07,36.0,1.8,71.0
157,2018-01-14,36.0,1.8,35.0
158,2018-01-21,36.0,1.8,34.0
159,2018-01-28,36.0,1.8,71.0
160,2018-02-04,36.0,1.8,71.0
161,2018-02-11,36.0,1.8,71.0
162,2018-02-18,36.0,1.8,71.0
163,2018-02-25,36.0,1.8,71.0
164,2018-03-04,57.5,,
165,2018-03-11,79.0,1.8,71.0
166,2018-03-18,45.0,1.8,71.0
167,2018-03-25,48.0,1.8,71.0
168,2018-04-01,36.0,1.8,71.0
169,2018-04-08,36.0,1.8,71.0
170,2018-04-15,36.0,1.8,71.0
171,2018-04-22,36.0,1.8,71.0
172,2018-04-29,36.0,1.8,71.0
173,2018-05-06,74.0,1.8,71.0
174,2018-05-13,36.0,1.8,71.0
175,2018-05-20,36.0,1.8,71.0
176,2018-05-27,87.0,1.8,71.0
177,2018-06-03,36.0,1.8,71.0
178,2018-06-10,36.0,1.8,71.0
179,2018-06-17,36.0,1.8,71.0
180,2018-06-24,36.0,1.8,71.0
181,2018-07-01,283.0,1.8,71.0
182,2018-07-08,301.0,1.8,71.0
183,2018-07-15,168.0,1.8,71.0
184,2018-07-22,267.0,1.8,71.0
185,2018-07-29,303.0,1.8,71.0
186,2018-08-05,199.0,1.8,71.0
187,2018-08-12,128.0,1.8,71.0
188,2018-08-19,137.5,,
189,2018-08-26,147.0,1.8,5.0
190,2018-09-02,100.0,1.8,71.0
191,2018-09-09,25.0,1.8,71.0
192,2018-09-16,35.0,1.8,71.0
193,2018-09-23,28.0,1.8,71.0
194,2018-09-30,36.0,1.8,71.0
195,2018-10-07,36.0,1.8,305.0
196,2018-10-14,36.0,1.8,93.0
197,2018-10-21,36.0,1.8,71.0
198,2018-10-28,36.0,1.8,71.0
199,2018-11-04,36.0,1.8,91.0
200,2018-11-11,36.0,1.8,71.0
201,2018-11-18,36.0,1.8,71.0
202,2018-11-25,36.0,1.8,71.0
203,2018-12-02,36.0,,
204,2018-12-09,36.0,1.8,71.0
205,2018-12-16,36.0,1.8,71.0
206,2018-12-23,36.0,1.8,71.0
207,2018-12-30,36.0,,
208,2019-01-06,36.0,1.8,71.0
209,2019-01-13,36.0,1.8,71.0
210,2019-01-20,36.0,1.8,71.0
211,2019-01-27,36.0,1.8,71.0
212,2019-02-03,36.0,1.8,71.0
213,2019-02-10,36.0,1.8,71.0
214,2019-02-17,36.0,1.8,71.0
215,2019-02-24,36.0,1.8,71.0
216,2019-03-03,36.0,1.8,71.0
217,2019-03-10,36.0,1.8,71.0
218,2019-03-17,36.0,1.8,71.0
219,2019-03-24,36.0,1.8,71.0
220,2019-03-31,36.0,1.8,71.0
221,2019-04-07,36.0,1.8,71.0
222,2019-04-14,36.0,1.8,71.0
223,2019-04-21,36.0,1.8,71.0
224,2019-04-28,36.0,1.8,71.0
225,2019-05-05,36.0,1.8,71.0
226,2019-05-12,36.0,1.8,
227,2019-05-19,77.0,1.8,
228,2019-05-26,36.0,1.8,
229,2019-06-02,36.0,1.8,
230,2019-06-09,64.0,1.8,
231,2019-06-16,82.0,1.8,
