Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2015-01-11,36.0,1.8,71.0,52.0,1.8,71.0
2015-01-18,40.0,1.8,71.0,41.0,1.8,71.0
2015-01-25,36.0,1.8,71.0,42.0,1.8,71.0
2015-02-01,36.0,1.8,71.0,35.0,1.8,71.0
2015-02-08,36.0,1.8,71.0,42.5,1.8,71.0
2015-02-15,36.0,1.8,71.0,39.0,1.8,71.0
2015-02-22,18.0,1.8,71.0,35.0,1.8,71.0
2015-03-01,36.0,1.8,71.0,20.0,1.8,71.0
2015-03-08,,,,25.333333333333332,,
2015-03-15,,,,30.666666666666664,,
2015-03-22,36.0,1.8,71.0,36.0,1.8,71.0
2015-03-29,23.0,1.8,71.0,30.0,1.8,71.0
2015-04-05,36.0,1.8,71.0,42.0,1.8,71.0
2015-04-12,36.0,18.0,71.0,33.0,54.0,71.0
2015-04-19,21.0,5.0,71.0,52.0,7.0,71.0
2015-04-26,121.0,1.8,71.0,319.0,1.8,71.0
2015-05-03,36.0,1.8,71.0,250.0,1.8,71.0
2015-05-10,67.0,1.8,71.0,117.0,1.8,71.0
2015-05-17,69.0,1.8,71.0,850.0,1.8,71.0
2015-05-24,93.0,1.8,71.0,505.0,1.8,71.0
2015-05-31,28.0,1.8,71.0,180.0,1.8,71.0
2015-06-07,36.0,1.8,71.0,72.0,1.8,71.0
2015-06-14,36.0,1.8,71.0,132.0,1.8,71.0
2015-06-21,227.0,1.8,71.0,324.0,1.8,71.0
2015-06-28,128.0,1.8,71.0,360.0,1.8,71.0
2015-07-05,56.0,1.8,71.0,264.0,1.8,71.0
2015-07-12,110.5,1.8,71.0,99.0,1.8,71.0
2015-07-19,36.0,1.8,71.0,70.0,1.8,71.0
2015-07-26,150.0,1.8,71.0,215.0,1.8,71.0
2015-08-02,93.0,5.0,71.0,293.0,4.0,71.0
2015-08-09,152.0,4.7,71.0,486.0,1.8,71.0
2015-08-16,252.0,1.8,71.0,983.0,1.8,71.0
2015-08-23,20.0,1.8,71.0,422.0,1.8,71.0
2015-08-30,162.0,1.8,71.0,280.0,1.8,71.0
2015-09-06,237.5,1.8,71.0,455.5,1.8,71.0
2015-09-13,69.0,1.8,71.0,657.0,1.8,71.0
2015-09-20,40.0,1.8,71.0,321.0,1.8,71.0
2015-09-27,21.0,1.8,71.0,441.0,,71.0
2015-10-04,117.0,1.8,71.0,281.0,1.8,71.0
2015-10-11,79.0,1.8,71.0,246.0,1.8,71.0
2015-10-18,55.0,1.8,,189.0,1.8,
2015-10-25,118.0,1.8,,385.0,1.8,
2015-11-01,45.0,1.8,71.0,356.0,1.8,71.0
2015-11-08,142.0,1.8,71.0,351.0,1.8,71.0
2015-11-15,44.0,1.8,71.0,277.0,1.8,71.0
2015-11-22,44.0,1.8,71.0,186.0,1.8,372.0
2015-11-29,44.0,1.8,71.0,178.0,1.8,950.0
2015-12-06,44.0,1.8,71.0,165.0,1.8,418.0
2015-12-13,44.0,1.8,71.0,73.0,1.8,209.0
2015-12-20,44.0,1.8,71.0,75.0,1.8,142.0
2015-12-27,25.0,1.8,71.0,88.0,1.8,71.0
2016-01-03,17.0,1.8,71.0,71.0,1.8,71.0
2016-01-10,36.0,1.8,71.0,61.0,1.8,71.0
2016-01-17,36.0,1.8,71.0,46.0,1.8,71.0
2016-01-24,36.0,1.8,71.0,42.0,1.8,71.0
2016-01-31,36.0,1.8,71.0,55.0,1.8,71.0
2016-02-07,36.0,1.8,71.0,74.0,1.8,71.0
2016-02-14,36.0,1.8,71.0,36.0,1.8,71.0
2016-02-21,18.0,1.8,71.0,54.0,1.8,71.0
2016-02-28,36.0,1.8,71.0,27.0,1.8,71.0
2016-03-06,36.0,1.8,71.0,37.5,,
2016-03-13,36.0,1.8,71.0,48.0,1.8,71.0
2016-03-20,36.0,1.8,71.0,36.0,1.8,71.0
2016-03-27,36.0,1.8,71.0,52.0,1.8,71.0
2016-04-03,59.0,1.8,71.0,193.0,1.8,71.0
2016-04-10,125.0,1.8,71.0,424.0,1.8,71.0
2016-04-17,122.0,1.8,71.0,601.0,1.8,71.0
2016-04-24,52.0,1.8,71.0,589.0,1.8,71.0
2016-05-01,,,,491.0,1.8,71.0
2016-05-08,145.0,1.8,71.0,850.0,1.8,71.0
2016-05-15,484.0,1.8,71.0,689.3333333333334,,
2016-05-22,98.0,1.8,71.0,528.6666666666667,,
2016-05-29,83.0,,,368.0,1.8,71.0
2016-06-05,36.0,1.8,71.0,247.0,1.8,71.0
2016-06-12,106.0,1.8,71.0,268.0,1.8,71.0
2016-06-19,64.0,1.8,71.0,746.0,7.5,71.0
2016-06-26,36.0,3.7,,268.0,4.6,71.0
2016-07-03,36.0,1.8,71.0,292.0,1.8,71.0
2016-07-10,29.0,1.8,71.0,236.0,1.8,71.0
2016-07-17,36.0,1.8,,127.0,1.8,71.0
2016-07-24,63.0,1.8,71.0,96.0,1.8,71.0
2016-07-31,31.0,1.8,71.0,78.0,1.8,71.0
2016-08-07,63.0,1.8,71.0,63.0,1.8,71.0
2016-08-14,36.0,1.8,71.0,303.0,1.8,71.0
2016-08-21,86.0,1.8,71.0,335.0,1.8,71.0
2016-08-28,144.0,,,306.0,1.8,71.0
2016-09-04,102.0,1.8,71.0,850.0,1.8,71.0
2016-09-11,163.0,1.8,71.0,850.0,1.8,71.0
2016-09-18,82.5,1.8,71.0,675.0,1.8,71.0
2016-09-25,,,,791.0,1.8,71.0
2016-10-02,36.0,1.8,71.0,732.0,1.8,71.0
2016-10-09,264.0,1.8,71.0,850.0,1.8,71.0
2016-10-16,48.5,1.8,71.0,850.0,1.8,71.0
2016-10-23,81.0,1.8,71.0,850.0,1.8,71.0
2016-10-30,93.0,1.8,71.0,850.0,1.8,71.0
2016-11-06,47.0,1.8,71.0,850.0,1.8,71.0
2016-11-13,36.0,1.8,71.0,850.0,1.8,131.0
2016-11-20,36.0,1.8,71.0,624.0,1.8,71.0
2016-11-27,36.0,1.8,71.0,199.0,,71.0
2016-12-04,36.0,1.8,71.0,186.0,1.8,71.0
2016-12-11,36.0,1.8,71.0,343.0,1.8,767.0
2016-12-18,37.0,1.8,117.0,185.0,1.8,4919.0
2016-12-25,42.0,1.8,573.0,80.0,1.8,4661.0
