Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2017-01-01,36.0,1.8,133.0,77.0,1.8,1896.0
2017-01-08,36.0,1.8,71.0,246.5,1.8,385.0
2017-01-15,,,,151.25,,
2017-01-22,32.0,1.8,166.0,56.0,1.8,2844.0
2017-01-29,36.0,1.8,71.0,69.0,1.8,1686.0
2017-02-05,189.0,1.8,71.0,244.66666666666666,1.8,2341.3333333333335
2017-02-12,79.0,4.2,107.0,411.0,1.8,110.0
2017-02-19,36.0,1.8,71.0,36.0,1.8,1012.0
2017-02-26,36.0,1.8,71.0,56.0,1.8,199.0
2017-03-05,36.0,,119.0,57.0,1.8,194.0
2017-03-12,,,,482.0,1.8,71.0
2017-03-19,36.0,1.8,71.0,40.0,1.8,129.0
2017-03-26,36.0,1.8,71.0,33.0,1.8,228.0
2017-04-02,36.0,1.8,71.0,36.0,1.8,71.0
2017-04-09,36.0,1.8,71.0,625.0,1.8,152.0
2017-04-16,,,,625.0,,
2017-04-23,69.0,1.8,71.0,625.0,3.6,71.0
2017-04-30,401.0,4.1,71.0,625.0,5.5,71.0
2017-05-07,36.0,,,293.0,1.8,71.0
2017-05-14,,,,459.0,,
2017-05-21,123.0,1.8,71.0,625.0,1.8,71.0
2017-05-28,36.0,1.8,71.0,509.0,1.8,71.0
2017-06-04,74.0,1.8,,156.66666666666666,1.8,531.3333333333334
2017-06-11,,,,166.77777777777777,,
2017-06-18,86.0,1.8,,176.88888888888889,1.8,
2017-06-25,36.0,1.8,71.0,187.0,1.8,71.0
2017-07-02,45.5,1.8,71.0,558.0,1.8,71.0
2017-07-09,36.0,1.8,71.0,369.0,1.8,71.0
2017-07-16,,,,354.0,,
2017-07-23,64.0,1.8,71.0,339.0,,71.0
2017-07-30,255.0,1.8,71.0,391.0,1.8,71.0
2017-08-06,36.0,1.8,71.0,625.0,1.8,71.0
2017-08-13,,,,574.0,,
2017-08-20,62.0,17.8,47.0,523.0,13.7,63.0
2017-08-27,41.0,1.8,71.0,526.0,1.8,104.0
2017-09-03,64.0,1.8,71.0,356.0,1.8,1494.0
2017-09-10,70.5,1.8,71.0,374.0,1.8,71.0
2017-09-17,39.0,1.8,71.0,428.0,,
2017-09-24,28.0,1.8,71.0,482.0,1.8,95.0
2017-10-01,47.0,1.8,151.5,534.0,1.8,113.0
2017-10-08,36.0,1.8,71.0,162.0,1.8,71.0
2017-10-15,,,,188.5,,
2017-10-22,48.0,1.8,71.0,215.0,1.8,71.0
2017-10-29,85.0,1.8,5.0,219.0,1.8,71.0
2017-11-05,35.0,1.8,71.0,271.0,1.8,71.0
2017-11-12,95.0,1.8,71.0,452.0,1.8,73.5
2017-11-19,41.0,1.8,71.0,292.0,1.8,71.0
2017-11-26,25.0,1.8,71.0,213.0,1.8,71.0
2017-12-03,36.0,1.8,71.0,200.0,1.8,71.0
2017-12-10,97.0,1.8,5.0,198.0,1.8,71.0
2017-12-17,15.0,1.8,71.0,175.0,1.8,71.0
2017-12-24,36.0,1.8,71.0,115.0,1.8,71.0
2017-12-31,36.0,1.8,71.0,121.0,1.8,71.0
2018-01-07,36.0,1.8,71.0,151.0,1.8,71.0
2018-01-14,36.0,1.8,71.0,33.0,1.8,71.0
2018-01-21,36.0,1.8,71.0,36.0,1.8,71.0
2018-01-28,36.0,1.8,71.0,20.0,1.8,71.0
2018-02-04,36.0,1.8,71.0,44.0,1.8,71.0
2018-02-11,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-18,36.0,1.8,71.0,36.0,1.8,71.0
2018-02-25,36.0,1.8,71.0,36.0,1.8,71.0
2018-03-04,36.0,1.8,71.0,36.0,1.8,71.0
2018-03-11,36.0,2.9,71.0,58.0,1.8,71.0
2018-03-18,36.0,1.8,12.0,25.0,1.8,71.0
2018-03-25,36.0,1.8,71.0,35.0,1.8,71.0
2018-04-01,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-08,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-15,36.0,1.8,71.0,36.0,1.8,71.0
2018-04-22,295.0,1.8,71.0,266.0,1.8,71.0
2018-04-29,135.0,1.8,71.0,550.0,1.8,71.0
2018-05-06,100.0,1.8,71.0,550.0,1.8,71.0
2018-05-13,36.0,1.8,71.0,494.0,1.8,71.0
2018-05-20,64.0,1.8,71.0,166.0,1.8,71.0
2018-05-27,133.0,1.8,71.0,550.0,1.8,71.0
2018-06-03,233.0,1.8,71.0,550.0,1.8,71.0
2018-06-10,212.0,1.8,71.0,550.0,1.8,71.0
2018-06-17,36.0,1.8,71.0,550.0,2.8,71.0
2018-06-24,36.0,1.8,71.0,550.0,1.8,71.0
2018-07-01,36.0,1.8,71.0,477.0,1.8,71.0
2018-07-08,36.0,1.8,71.0,331.0,1.8,71.0
2018-07-15,36.0,4.9,71.0,131.0,1.8,71.0
2018-07-22,36.0,1.8,71.0,95.0,1.8,71.0
2018-07-29,36.0,1.8,71.0,194.0,1.8,71.0
2018-08-05,36.0,1.8,71.0,73.0,1.8,71.0
2018-08-12,36.0,1.8,5.0,66.0,1.8,71.0
2018-08-19,36.0,1.8,71.0,36.0,1.8,71.0
2018-08-26,36.0,1.8,5.0,36.0,1.8,75.0
2018-09-02,36.0,1.8,71.0,36.0,1.8,31.0
2018-09-09,36.0,1.8,71.0,36.0,1.8,34.0
2018-09-16,36.0,1.8,71.0,33.0,1.8,55.0
2018-09-23,36.0,1.8,71.0,22.0,1.8,18.0
2018-09-30,36.0,1.8,71.0,36.0,1.8,29.0
2018-10-07,,,,36.0,1.8,71.0
2018-10-14,36.0,1.8,71.0,36.0,,
2018-10-21,36.0,1.8,71.0,36.0,1.8,71.0
2018-10-28,36.0,1.8,71.0,36.0,1.8,71.0
2018-11-04,36.0,1.8,71.0,22.0,1.8,71.0
2018-11-11,36.0,1.8,71.0,22.0,1.8,71.0
2018-11-18,36.0,1.8,71.0,92.0,1.8,71.0
2018-11-25,27.0,1.8,71.0,35.0,1.8,71.0
2018-12-02,36.0,1.8,71.0,27.0,1.8,71.0
2018-12-09,36.0,1.8,71.0,22.0,1.8,71.0
2018-12-16,36.0,1.8,71.0,36.0,1.8,71.0
2018-12-23,36.0,1.8,71.0,36.0,1.8,71.0
2018-12-30,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-06,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-13,36.0,1.8,71.0,36.0,1.8,71.0
2019-01-20,36.0,2.0,71.0,36.0,1.8,71.0
2019-01-27,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-03,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0,36.0,1.8,71.0
2019-02-24,88.0,1.8,71.0,36.0,1.8,71.0
2019-03-03,36.0,1.8,71.0,36.0,1.8,71.0
2019-03-10,76.0,1.8,71.0,166.0,1.8,71.0
2019-03-17,36.0,1.8,71.0,156.0,1.8,71.0
2019-03-24,36.0,1.8,71.0,71.0,1.8,71.0
2019-03-31,36.0,1.8,71.0,36.0,1.8,71.0
2019-04-07,36.0,1.8,71.0,36.0,1.8,71.0
2019-04-14,36.0,1.8,71.0,36.0,1.8,71.0
2019-04-21,36.0,2.0,71.0,59.0,4.0,71.0
2019-04-28,115.0,13.0,71.0,307.0,10.0,71.0
2019-05-05,36.0,2.0,71.0,157.0,1.8,71.0
2019-05-12,58.0,1.8,71.0,397.0,1.8,71.0
2019-05-19,36.0,1.8,,248.0,1.8,71.0
2019-05-26,261.0,1.8,,546.0,1.8,71.0
2019-06-02,36.0,1.8,71.0,330.0,1.8,71.0
2019-06-09,36.0,1.8,,217.0,1.8,71.0
2019-06-16,36.0,1.8,,241.0,1.8,71.0
2019-06-23,36.0,1.8,,179.0,1.8,71.0
2019-06-30,36.0,1.8,,75.0,1.8,71.0
2019-07-07,36.0,1.8,,87.0,1.8,71.0
2019-07-14,36.0,1.8,,26.0,1.8,71.0
2019-07-21,36.0,1.8,,36.0,1.8,71.0
2019-07-28,25.0,1.8,71.0,194.0,1.8,53.0
2019-08-04,36.0,1.8,71.0,124.0,1.8,71.0
2019-08-11,550.0,,71.0,550.0,4.0,71.0
2019-08-18,36.0,1.8,71.0,694.0,1.8,71.0
2019-08-25,550.0,1.8,71.0,550.0,1.8,71.0
2019-09-01,,,,550.0,1.8,71.0
2019-09-08,550.0,2.0,71.0,550.0,1.8,71.0
2019-09-15,139.0,1.8,71.0,550.0,,
2019-09-22,102.0,1.8,71.0,550.0,,
2019-09-29,492.0,4.0,71.0,550.0,3.0,71.0
2019-10-06,267.0,1.8,71.0,550.0,1.8,71.0
2019-10-13,36.0,1.8,71.0,550.0,1.8,71.0
2019-10-20,143.0,1.8,71.0,550.0,,
2019-10-27,174.0,1.8,71.0,550.0,1.8,71.0
2019-11-03,26.0,1.8,,550.0,1.8,71.0
2019-11-10,34.0,1.8,71.0,550.0,1.8,71.0
2019-11-17,36.0,1.8,71.0,564.5,,
2019-11-24,36.0,1.8,71.0,579.0,1.8,71.0
2019-12-01,36.0,1.8,,289.0,1.8,
2019-12-08,36.0,1.8,,550.0,1.8,
2019-12-15,36.0,1.8,71.0,193.0,1.8,71.0
2019-12-22,36.0,1.8,,122.0,1.8,
2019-12-29,,,,242.0,1.8,71.0
2020-01-05,36.0,1.8,,103.0,1.8,
2020-01-12,36.0,1.8,,274.0,1.8,71.0
2020-01-19,36.0,1.8,,87.0,1.8,71.0
2020-01-26,36.0,1.8,,47.0,1.8,71.0
2020-02-02,36.0,1.8,,38.0,1.8,71.0
2020-02-09,,1.8,,174.0,1.8,
2020-02-16,266.0,1.8,,554.0,1.8,
2020-02-23,,1.8,,352.0,1.8,
2020-03-01,63.0,1.8,,352.0,1.8,
2020-03-08,36.0,1.8,71.0,310.0,1.8,71.0
2020-03-15,82.0,1.8,71.0,366.0,1.8,71.0
2020-03-22,,,,271.0,,
2020-03-29,,,,176.0,1.8,71.0
2020-04-05,36.0,1.8,71.0,111.0,1.8,71.0
2020-04-12,36.0,12.0,71.0,77.0,8.0,71.0
2020-04-19,36.0,1.8,71.0,36.0,1.8,71.0
2020-04-26,36.0,1.8,71.0,36.0,1.8,71.0
2020-05-03,36.0,1.8,71.0,156.0,1.8,71.0
2020-05-10,68.0,1.8,71.0,550.0,1.8,71.0
2020-05-17,361.0,1.8,71.0,550.0,1.8,71.0
2020-05-24,36.0,1.8,71.0,555.0,1.8,71.0
2020-05-31,36.0,1.8,71.0,488.0,1.8,71.0
2020-06-07,92.0,1.8,71.0,195.0,1.8,71.0
2020-06-14,471.0,1.9,71.0,304.0,1.8,71.0
2020-06-21,,,,369.0,1.8,71.0
2020-06-28,128.0,1.8,71.0,36.0,1.8,71.0
2020-07-05,155.0,1.8,71.0,352.0,1.8,71.0
2020-07-12,160.0,,71.0,600.0,1.8,71.0
2020-07-19,36.0,22.0,71.0,326.0,1.8,71.0
2020-07-26,25.0,16.0,,883.0,7.0,71.0
2020-08-02,260.0,1.8,71.0,539.0,1.8,71.0
2020-08-09,132.0,1.8,,518.2222222222222,,
2020-08-16,,,,497.44444444444446,,
2020-08-23,230.0,1.8,71.0,476.6666666666667,,
2020-08-30,62.0,1.8,71.0,455.8888888888889,,
2020-09-06,497.0,1.8,71.0,435.1111111111111,,
2020-09-13,36.0,1.8,71.0,414.3333333333333,,
2020-09-20,190.0,1.8,71.0,393.55555555555554,,
2020-09-27,128.0,1.8,71.0,372.77777777777777,1.8,71.0
2020-10-04,63.0,1.8,71.0,352.0,1.8,71.0
2020-10-11,94.0,1.8,71.0,346.0,1.8,71.0
2020-10-18,84.0,1.8,71.0,608.0,1.8,71.0
2020-10-25,59.0,1.8,71.0,319.0,,
2020-11-01,36.0,1.8,71.0,374.0,,
2020-11-08,14.0,1.8,71.0,79.0,,
2020-11-15,36.0,1.8,71.0,36.0,,
2020-11-22,395.0,1.8,71.0,550.0,,
2020-11-29,100.0,1.8,71.0,473.25,,
2020-12-06,67.0,1.8,71.0,396.5,,
2020-12-13,36.0,1.8,71.0,319.75,,
2020-12-20,36.0,1.8,71.0,243.0,1.8,71.0
2020-12-27,,,,321.0,1.8,71.0
2021-01-03,36.0,1.8,71.0,321.0,,
