Date,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão,dsp_toxins_Amêijoa-branca,asp_toxins_Amêijoa-branca,psp_toxins_Amêijoa-branca
2016-01-10,,1.8,,,,
2016-01-17,122.5,1.8,71.0,36.0,1.8,71.0
2016-01-24,,1.8,,36.0,1.8,71.0
2016-01-31,172.0,1.8,71.0,36.0,1.8,71.0
2016-02-07,99.0,1.8,71.0,,,
2016-02-14,42.0,1.8,71.0,,,
2016-02-21,45.0,1.8,71.0,36.0,1.8,71.0
2016-02-28,37.0,1.8,71.0,36.0,1.8,71.0
2016-03-06,40.0,1.8,71.0,36.0,1.8,71.0
2016-03-13,36.5,1.8,71.0,36.0,1.8,71.0
2016-03-20,,1.8,,36.0,1.8,71.0
2016-03-27,,1.8,,36.0,1.8,71.0
2016-04-03,,1.8,,,,
2016-04-10,490.0,1.8,71.0,122.0,1.8,71.0
2016-04-17,259.0,1.8,71.0,,,
2016-04-24,275.0,1.8,71.0,391.0,1.8,71.0
2016-05-01,603.0,1.8,71.0,673.0,1.8,71.0
2016-05-08,452.0,1.8,71.0,90.0,1.8,71.0
2016-05-15,850.0,1.8,71.0,478.0,,
2016-05-22,463.0,1.8,71.0,193.0,1.8,71.0
2016-05-29,333.0,1.8,71.0,32.0,1.8,71.0
2016-06-05,,1.8,,,,
2016-06-12,305.0,1.8,71.0,39.0,3.5,71.0
2016-06-19,243.0,1.8,71.0,133.0,20.1,
2016-06-26,236.0,1.8,71.0,,,
2016-07-03,149.0,1.8,71.0,,,
2016-07-10,154.0,1.8,71.0,31.0,1.8,71.0
2016-07-17,37.0,1.8,71.0,36.0,1.8,71.0
2016-07-24,63.0,1.8,71.0,63.0,1.8,71.0
2016-07-31,89.0,1.8,71.0,36.0,10.8,71.0
2016-08-07,68.0,1.8,71.0,63.0,1.8,71.0
2016-08-14,105.0,1.8,71.0,36.0,1.8,71.0
2016-08-21,139.0,1.8,71.0,63.0,1.8,71.0
2016-08-28,850.0,1.8,71.0,63.0,1.8,71.0
2016-09-04,492.0,1.8,71.0,36.0,1.8,71.0
2016-09-11,565.0,1.8,71.0,36.0,,
2016-09-18,219.0,1.8,71.0,36.0,1.8,
2016-09-25,556.0,1.8,71.0,97.0,1.8,71.0
2016-10-02,,1.8,,36.0,1.8,71.0
2016-10-09,,1.8,,,,
2016-10-16,,1.8,,,,
2016-10-23,,1.8,,139.0,1.8,71.0
2016-10-30,,1.8,,86.0,1.8,71.0
2016-11-06,,1.8,,45.0,1.8,71.0
2016-11-13,,1.8,,46.0,1.8,71.0
2016-11-20,,1.8,,36.0,1.8,71.0
2016-11-27,,1.8,,36.0,1.8,71.0
2016-12-04,,1.8,,36.0,1.8,71.0
2016-12-11,152.0,1.8,71.0,36.0,1.8,189.0
2016-12-18,135.0,1.8,71.0,32.0,1.8,198.0
2016-12-25,169.0,1.8,955.0,36.0,1.8,373.0
2017-01-01,,1.8,,,,
2017-01-08,,1.8,,41.0,1.8,216.0
2017-01-15,,1.8,,,,
2017-01-22,105.0,1.8,93.0,36.0,1.8,71.0
2017-01-29,,1.8,,36.0,1.8,71.0
2017-02-05,112.5,1.8,114.5,112.5,2.3,108.5
2017-02-12,625.0,1.8,71.0,36.0,1.8,
2017-02-19,71.0,1.8,1284.0,36.0,1.8,329.0
2017-02-26,74.0,1.8,284.0,36.0,1.8,208.0
2017-03-05,34.0,1.8,98.0,36.0,1.8,58.0
2017-03-12,88.0,1.8,71.0,,,
2017-03-19,48.0,1.8,71.0,36.0,1.8,106.0
2017-03-26,42.0,1.8,71.0,36.0,1.8,71.0
2017-04-02,34.0,1.8,71.0,36.0,1.8,71.0
2017-04-09,55.0,1.8,101.0,36.0,1.8,71.0
2017-04-16,,1.8,,39.0,1.8,71.0
2017-04-23,167.0,1.8,71.0,43.0,53.5,71.0
2017-04-30,625.0,10.6,71.0,186.0,15.5,71.0
2017-05-07,439.0,1.8,71.0,36.0,1.8,71.0
2017-05-14,,1.8,,,,
2017-05-21,625.0,1.8,71.0,,,
2017-05-28,625.0,1.8,71.0,155.0,1.8,71.0
2017-06-04,293.0,1.8,71.0,42.0,1.8,
2017-06-11,,1.8,,36.0,1.8,71.0
2017-06-18,,1.8,,,1.8,
2017-06-25,262.0,1.8,71.0,,,
2017-07-02,115.0,1.8,71.0,,,
2017-07-09,,1.8,71.0,37.0,1.8,71.0
2017-07-16,,1.8,,,,
2017-07-23,84.0,1.8,71.0,36.0,1.8,71.0
2017-07-30,68.0,1.8,71.0,36.0,1.8,71.0
