Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,mean_wind_intensity,wind_dir,rainfall
2015-01-11,36.0,20.0,287.5123596191406,3.185551881790161,8.142857142857142,14.32857142857143,3.157142857142857,3.042857142857143,1.285714285714286,0.01428571428571429
2015-01-18,38.0,20.0,287.2071228027344,2.522946357727051,10.41428571428571,15.32857142857143,4.728571428571429,2.4,3.142857142857143,7.557142857142857
2015-01-25,36.0,20.0,286.7990417480469,1.456212282180786,9.885714285714286,15.52857142857143,3.914285714285714,2.457142857142858,6.0,1.242857142857143
2015-02-01,25.0,20.0,286.7390441894531,1.855205893516541,10.38571428571429,16.31428571428571,4.828571428571428,2.571428571428572,5.571428571428571,0.9714285714285713
2015-02-08,23.0,20.0,286.095703125,1.62866222858429,8.557142857142859,13.8,2.642857142857143,3.042857142857142,4.714285714285714,0.6
2015-02-15,16.0,20.0,286.24951171875,2.081015586853027,10.45714285714286,15.58571428571429,5.8,2.557142857142857,2.571428571428572,0.7714285714285715
2015-02-22,36.0,20.0,286.4047546386719,1.731452941894531,12.21428571428571,17.08571428571428,7.985714285714285,3.271428571428572,5.0,0.07142857142857142
2015-03-01,36.0,20.0,286.2047424316406,1.531569361686707,11.9,17.14285714285714,6.028571428571429,2.142857142857143,7.571428571428571,0.05714285714285715
2015-03-08,36.0,20.0,286.41680908203125,2.150395790735881,11.842857142857143,17.003571428571426,6.076785714285714,2.280300166759311,4.964285714285714,1.3503049124788256
2015-03-15,36.0,20.0,286.6288757324219,2.769222219785055,12.325000000000001,18.096428571428568,6.530357142857143,2.280300166759311,4.464285714285714,1.3503049124788256
2015-03-22,36.0,20.0,286.8409423828125,3.388048648834229,12.67142857142857,18.2,8.228571428571428,2.285714285714286,2.142857142857143,4.985714285714286
2015-03-29,29.0,20.0,287.1114196777344,2.851157903671265,12.97142857142857,19.95714285714286,6.257142857142857,3.342857142857143,7.857142857142857,0.01428571428571429
2015-04-05,36.0,20.0,287.9299926757812,14.34562587738037,15.58571428571429,24.51428571428571,6.842857142857143,1.985714285714286,4.285714285714286,0.0
2015-04-12,36.0,20.0,288.0014343261719,5.850027561187744,14.24285714285714,20.1,8.457142857142857,1.814285714285715,1.571428571428571,6.885714285714286
2015-04-19,71.0,20.0,288.6728515625,5.154255867004395,14.75714285714286,21.32857142857143,7.328571428571428,2.114285714285714,3.857142857142857,0.09999999999999999
2015-04-26,55.0,20.0,289.0585632324219,2.934102535247803,14.92857142857143,20.01428571428571,8.814285714285715,2.214285714285714,5.428571428571429,3.557142857142857
2015-05-03,85.0,180.0,289.6504516601562,2.118481636047363,15.55714285714286,20.51428571428571,9.714285714285714,1.671428571428571,6.0,0.1428571428571428
2015-05-10,505.0,200.0,290.0885620117188,2.712540149688721,15.91428571428571,22.37142857142857,7.585714285714285,2.242857142857143,5.142857142857143,0.1285714285714286
2015-05-17,658.0,800.0,290.6357116699219,2.868131875991821,19.1,27.1,10.67142857142857,2.4,5.714285714285714,0.0
2015-05-24,667.0,60.0,288.9823913574219,2.722420930862427,19.05714285714285,27.11428571428572,10.81428571428571,3.342857142857143,4.0,0.0
2015-05-31,339.0,20.0,290.0714111328125,12.09481239318848,18.97142857142857,27.81428571428571,9.671428571428573,2.014285714285714,5.142857142857143,0.0
2015-06-07,720.0,40.0,290.1895141601562,13.46210479736328,19.47142857142857,29.15714285714286,10.25714285714286,1.771428571428572,6.571428571428571,0.0
2015-06-14,384.0,120.0,290.894287109375,1.465990900993347,17.84285714285715,22.31428571428572,12.0,2.085714285714285,5.428571428571429,3.014285714285715
2015-06-21,193.0,20.0,292.1133117675781,4.261205196380615,20.05714285714286,27.84285714285715,12.07142857142857,1.985714285714286,5.714285714285714,0.0
2015-06-28,381.0,120.0,292.3828430175781,9.924240112304688,20.27142857142857,28.74285714285714,10.92857142857143,1.957142857142857,6.714285714285714,0.0
2015-07-05,785.0,20.0,292.1476135253906,3.328866720199585,18.8,25.5,10.47142857142857,1.714285714285714,6.0,0.2714285714285714
2015-07-12,602.0,140.0,291.9938049316406,7.613102912902832,20.68571428571429,29.1,11.64285714285714,2.485714285714286,7.571428571428571,0.0
2015-07-19,393.0,80.0,291.4237976074219,16.33861351013184,21.38571428571429,29.12857142857143,13.61428571428572,1.957142857142857,7.571428571428571,0.0
2015-07-26,291.0,100.0,291.6980895996094,11.61222362518311,22.97142857142857,31.1,14.32857142857143,2.514285714285715,7.571428571428571,0.0
2015-08-02,419.0,120.0,291.5785522460938,8.0700044631958,22.52857142857143,29.7,15.74285714285714,2.314285714285714,7.428571428571429,0.0
2015-08-09,574.0,160.0,291.1980895996094,13.28692817687988,20.87142857142857,30.18571428571429,12.11428571428571,2.085714285714286,7.857142857142857,0.0
2015-08-16,650.0,320.0,290.8771362304688,8.540664672851562,19.74285714285714,26.22857142857143,13.1,2.1,6.714285714285714,0.0
2015-08-23,460.0,40.0,290.8323669433594,8.048942565917969,20.34285714285715,27.72857142857143,12.95714285714286,1.885714285714285,5.857142857142857,0.0
2015-08-30,324.0,180.0,291.566650390625,8.46056079864502,20.15714285714285,25.68571428571429,13.31428571428572,1.285714285714285,4.0,1.2585157592446414
2015-09-06,850.0,160.0,291.1333312988281,4.57029914855957,18.81428571428572,25.3,12.25714285714286,2.228571428571429,5.857142857142857,0.5867489637483927
2015-09-13,850.0,140.0,290.7714233398438,7.599397659301758,17.9,25.28571428571429,10.15714285714286,1.514285714285714,5.714285714285714,0.5459372556133169
