Date,dsp_toxins,asp_toxins,psp_toxins
2018-04-15,217.0,1.8,71.0
2018-04-22,282.0,1.8,71.0
2018-04-29,,,81.66017316017316
2018-05-06,206.0,1.8,71.0
2018-05-13,108.0,1.8,71.0
2018-05-20,77.0,1.8,71.0
2018-05-27,215.0,1.8,71.0
2018-06-03,124.0,1.8,71.0
2018-06-10,400.0,1.8,71.0
2018-06-17,550.0,1.8,71.0
2018-06-24,425.0,1.8,71.0
2018-07-01,550.0,6.1,71.0
2018-07-08,281.0,2.7,71.0
2018-07-15,83.0,1.8,71.0
2018-07-22,93.0,1.8,41.0
2018-07-29,,,81.66017316017316
2018-08-05,36.0,1.8,71.0
2018-08-12,36.0,1.8,71.0
2018-08-19,36.0,1.8,71.0
2018-08-26,36.0,1.8,71.0
2018-09-02,75.0,1.8,71.0
2018-09-09,36.0,1.8,71.0
2018-09-16,36.0,1.8,71.0
2018-09-23,36.0,1.8,71.0
2018-09-30,,,81.66017316017316
2018-10-07,36.0,1.8,71.0
2018-10-14,36.0,1.8,71.0
2018-10-21,,,81.66017316017316
2018-10-28,36.0,1.8,71.0
2018-11-04,36.0,1.8,71.0
2018-11-11,36.0,1.8,71.0
2018-11-18,36.0,1.8,71.0
2018-11-25,,,81.66017316017316
2018-12-02,25.0,1.8,71.0
2018-12-09,,,81.66017316017316
2018-12-16,30.0,1.8,71.0
2018-12-23,,,81.66017316017316
2018-12-30,36.0,1.8,71.0
2019-01-06,,,81.66017316017316
2019-01-13,36.0,1.8,71.0
2019-01-20,36.0,1.8,71.0
2019-01-27,36.0,1.8,71.0
2019-02-03,36.0,1.8,71.0
2019-02-10,36.0,1.8,71.0
2019-02-17,36.0,1.8,71.0
2019-02-24,36.0,1.8,71.0
2019-03-03,36.0,1.8,71.0
2019-03-10,279.0,1.8,71.0
2019-03-17,628.0,1.8,71.0
2019-03-24,322.0,1.8,71.0
2019-03-31,131.0,1.8,71.0
2019-04-07,124.0,1.8,71.0
2019-04-14,142.0,1.8,71.0
2019-04-21,139.0,1.8,71.0
2019-04-28,311.0,4.0,71.0
2019-05-05,,,81.66017316017316
2019-05-12,521.0,1.8,71.0
2019-05-19,443.0,1.8,71.0
2019-05-26,245.0,1.8,71.0
2019-06-02,166.0,1.8,71.0
2019-06-09,162.0,1.8,71.0
2019-06-16,,,81.66017316017316
2019-06-23,131.0,1.8,71.0
2019-06-30,145.0,1.8,71.0
2019-07-07,,,81.66017316017316
2019-07-14,67.0,1.8,71.0
2019-07-21,36.0,1.8,71.0
2019-07-28,36.0,,71.0
2019-08-04,36.0,1.8,71.0
2019-08-11,74.0,1.8,71.0
2019-08-18,,,81.66017316017316
2019-08-25,521.0,1.8,71.0
2019-09-01,396.0,1.8,71.0
2019-09-08,459.0,1.8,71.0
2019-09-15,241.0,1.8,71.0
2019-09-22,96.0,1.8,71.0
2019-09-29,212.0,1.8,71.0
2019-10-06,550.0,1.8,71.0
2019-10-13,,,81.66017316017316
2019-10-20,598.0,1.8,71.0
2019-10-27,550.0,1.8,71.0
2019-11-03,,,81.66017316017316
2019-11-10,,,81.66017316017316
2019-11-17,36.0,1.8,71.0
2019-11-24,,,81.66017316017316
2019-12-01,392.0,1.8,71.0
2019-12-08,550.0,1.8,81.66017316017316
2019-12-15,223.0,1.8,71.0
2019-12-22,102.0,1.8,81.66017316017316
2019-12-29,71.0,1.8,71.0
2020-01-05,,,81.66017316017316
2020-01-12,,,81.66017316017316
2020-01-19,,,81.66017316017316
2020-01-26,44.0,1.8,71.0
2020-02-02,44.0,1.8,71.0
2020-02-09,,,81.66017316017316
2020-02-16,214.0,1.8,81.66017316017316
2020-02-23,,,81.66017316017316
2020-03-01,550.0,1.8,71.0
2020-03-08,300.0,1.8,71.0
2020-03-15,233.0,1.8,71.0
2020-03-22,36.0,1.8,71.0
2020-03-29,178.0,1.8,71.0
2020-04-05,99.0,3.0,71.0
2020-04-12,126.0,1.8,71.0
2020-04-19,245.0,1.8,71.0
2020-04-26,567.0,1.8,71.0
2020-05-03,485.0,1.8,71.0
2020-05-10,550.0,1.8,71.0
2020-05-17,,1.8,71.0
2020-05-24,550.0,1.8,71.0
2020-05-31,458.0,1.8,71.0
2020-06-07,154.0,1.8,71.0
2020-06-14,36.0,1.8,71.0
2020-06-21,127.0,1.8,71.0
2020-06-28,36.0,2.2,71.0
2020-07-05,,,81.66017316017316
2020-07-12,36.0,1.8,71.0
2020-07-19,36.0,1.8,71.0
2020-07-26,36.0,1.8,71.0
2020-08-02,36.0,1.8,71.0
2020-08-09,,,81.66017316017316
2020-08-16,,,81.66017316017316
2020-08-23,,,81.66017316017316
2020-08-30,,,81.66017316017316
2020-09-06,,,81.66017316017316
2020-09-13,36.0,1.8,71.0
2020-09-20,172.0,,81.66017316017316
2020-09-27,352.0,,81.66017316017316
2020-10-04,,,81.66017316017316
2020-10-11,,,81.66017316017316
2020-10-18,,,81.66017316017316
2020-10-25,,,81.66017316017316
2020-11-01,349.0,,81.66017316017316
2020-11-08,43.0,,81.66017316017316
2020-11-15,,,81.66017316017316
2020-11-22,412.0,1.8,71.0
2020-11-29,,,81.66017316017316
2020-12-06,276.0,1.8,71.0
2020-12-13,,,81.66017316017316
2020-12-20,141.0,1.8,71.0
2020-12-27,347.0,1.8,71.0
2021-01-03,176.0,1.8,81.66017316017316
