,Date,dsp_toxins,asp_toxins,psp_toxins
158,2018-01-21,36.0,1.8,71.0
159,2018-01-28,51.833333333333336,,
160,2018-02-04,36.0,1.8,71.0
161,2018-02-11,46.166666666666664,,
162,2018-02-18,36.0,1.8,71.0
163,2018-02-25,35.0,2.0,71.0
164,2018-03-04,40.166666666666664,,
165,2018-03-11,57.0,1.8,71.0
166,2018-03-18,40.5,,
167,2018-03-25,41.0,1.8,71.0
168,2018-04-01,36.0,1.8,71.0
169,2018-04-08,38.0,1.8,71.0
170,2018-04-15,66.28571428571429,,
171,2018-04-22,36.0,1.8,71.0
172,2018-04-29,110.5,,
173,2018-05-06,210.0,1.8,71.0
174,2018-05-13,46.0,1.8,71.0
175,2018-05-20,284.0,1.8,71.0
176,2018-05-27,193.0,1.8,71.0
177,2018-06-03,243.0,1.8,71.0
178,2018-06-10,36.0,1.8,71.0
179,2018-06-17,24.0,1.8,71.0
180,2018-06-24,331.1111111111111,,
181,2018-07-01,550.0,1.8,71.0
182,2018-07-08,550.0,1.8,71.0
183,2018-07-15,550.0,1.8,71.0
184,2018-07-22,550.0,1.8,71.0
185,2018-07-29,287.0,1.8,71.0
186,2018-08-05,383.0,1.8,71.0
187,2018-08-12,573.0,1.8,71.0
188,2018-08-19,219.0,1.8,71.0
189,2018-08-26,173.0,1.8,71.0
190,2018-09-02,373.0,1.8,71.0
191,2018-09-09,108.0,1.8,71.0
192,2018-09-16,147.0,1.8,108.0
193,2018-09-23,139.625,,
194,2018-09-30,43.0,1.8,71.0
195,2018-10-07,109.0,,
196,2018-10-14,28.0,1.8,99.0
197,2018-10-21,26.0,1.8,71.0
198,2018-10-28,38.0,1.8,39.5
199,2018-11-04,35.0,,
200,2018-11-11,36.0,1.8,71.0
201,2018-11-18,22.0,1.8,71.0
202,2018-11-25,76.47619047619048,,
203,2018-12-02,52.0,1.8,71.0
204,2018-12-09,77.61904761904762,,
205,2018-12-16,202.0,1.8,71.0
206,2018-12-23,159.33333333333334,1.8,71.0
207,2018-12-30,36.0,1.8,71.0
208,2019-01-06,36.0,1.8,71.0
209,2019-01-13,87.72222222222223,,
210,2019-01-20,71.0,1.8,71.0
211,2019-01-27,60.055555555555564,,
212,2019-02-03,22.0,1.8,71.0
213,2019-02-10,40.2,,
214,2019-02-17,36.0,1.8,71.0
215,2019-02-24,40.2,,
216,2019-03-03,36.0,1.8,71.0
217,2019-03-10,41.0,,
