Date,dsp_toxins,dsp_phyto,mean_sst,mean_chl,mean_temp,max_temp,min_temp,mean_wind_intensity,mean_wind_dir,wind_dir,rainfall
2015-01-11,36.0,20.0,287.5471496582031,6.142790794372559,8.857142857142856,13.55714285714286,4.957142857142857,2.5,154.6,2.857142857142857,0.01428571428571429
2015-01-18,36.0,20.0,287.2099914550781,4.122447967529297,10.7,14.08571428571429,7.828571428571428,3.0,178.5714285714286,4.0,10.27142857142857
2015-01-25,36.0,20.0,286.5542907714844,6.640703678131104,10.62857142857143,14.01428571428571,7.885714285714286,3.971428571428572,253.1428571428571,6.857142857142857,1.914285714285714
2015-02-01,36.0,20.0,286.46142578125,5.329000473022461,11.77142857142857,14.91428571428571,9.471428571428572,4.771428571428571,316.6,7.285714285714286,1.485714285714286
2015-02-08,22.0,20.0,286.0585632324219,4.484243392944336,8.542857142857143,12.14285714285714,5.485714285714287,4.271428571428571,199.2857142857143,5.571428571428571,0.7000000000000001
2015-02-15,36.0,20.0,286.1357116699219,5.926177501678467,10.54285714285714,14.22857142857143,7.557142857142857,3.5,150.7142857142857,3.428571428571428,0.9285714285714286
2015-02-22,36.0,20.0,286.3042907714844,5.229180335998535,11.77142857142857,15.67142857142857,8.700000000000001,4.571428571428571,164.5714285714286,5.0,0.09999999999999999
2015-03-01,36.0,20.0,286.2585754394531,3.44568943977356,12.15714285714286,15.57142857142857,9.671428571428569,3.542857142857143,334.5714285714286,7.714285714285714,0.1142857142857143
2015-03-08,36.0,20.0,286.49952189127606,5.16502919793129,11.44047619047619,15.990476190476189,8.523809523809524,3.4381143552311433,211.38892075078206,5.664711505039972,1.574548140424053
2015-03-15,36.0,20.0,286.74046834309894,5.16502919793129,13.076190476190476,16.409523809523808,9.77142857142857,3.4381143552311433,211.38892075078206,5.664711505039972,1.574548140424053
2015-03-22,36.0,20.0,286.9814147949219,9.223405838012695,12.77142857142857,16.82857142857143,9.842857142857143,3.8,91.28571428571429,1.857142857142857,3.557142857142857
2015-03-29,36.0,20.0,287.4785766601562,6.421146392822266,12.85714285714286,17.54285714285714,9.885714285714286,5.185714285714286,250.4285714285714,8.0,0.09999999999999999
2015-04-05,36.0,20.0,288.4157104492188,6.021180629730225,18.35714285714286,25.67142857142857,12.97142857142857,3.342857142857143,154.8571428571429,4.714285714285714,0.0
2015-04-12,36.0,20.0,288.2771301269531,4.29341983795166,15.15714285714286,20.18571428571429,11.75714285714286,2.885714285714286,57.42857142857143,3.428571428571428,2.742857142857143
2015-04-19,36.0,20.0,288.8985595703125,11.83003902435303,15.62857142857143,20.32857142857143,12.47142857142857,2.971428571428572,198.5714285714286,4.428571428571429,3.714285714285714
2015-04-26,27.0,20.0,289.0971374511719,5.425005912780762,15.84285714285714,20.15714285714285,12.8,3.399999999999999,275.8571428571428,6.142857142857143,4.442857142857142
2015-05-03,29.0,20.0,289.8328552246094,6.95655632019043,16.44285714285714,20.44285714285714,13.44285714285714,2.9,270.7142857142857,6.0,0.2571428571428572
2015-05-10,48.0,20.0,290.4914245605469,7.386810302734375,17.31428571428571,22.77142857142857,12.82857142857143,3.5,206.2857142857143,5.714285714285714,0.4142857142857143
2015-05-17,95.0,20.0,291.0314331054688,6.734689712524414,20.94285714285714,27.8,15.74285714285714,3.985714285714285,85.0,6.285714285714286,0.0
2015-05-24,88.0,60.0,289.6585693359375,7.408646583557129,19.2,25.34285714285715,14.82857142857143,5.3,111.7142857142857,8.0,0.0
2015-05-31,106.0,20.0,290.4171447753906,9.777497291564941,21.92857142857143,27.92857142857142,17.01428571428572,3.857142857142857,200.0,7.857142857142857,0.0
2015-06-07,63.0,20.0,290.5628356933594,9.836318969726562,21.21428571428572,29.38571428571428,15.71428571428571,3.557142857142857,298.7142857142857,8.0,0.0
2015-06-14,59.0,60.0,291.1357116699219,5.320072650909424,19.8,24.31428571428571,16.51428571428571,3.271428571428571,281.2857142857143,6.285714285714286,2.428571428571428
2015-06-21,133.0,20.0,292.201416015625,6.885584831237793,23.65714285714285,29.87142857142857,18.28571428571428,3.428571428571428,181.1428571428571,7.428571428571429,0.0
2015-06-28,168.0,20.0,292.6099853515625,15.54862785339355,21.94285714285715,29.25714285714286,16.95714285714286,3.371428571428571,283.0,7.571428571428571,0.0
2015-07-05,339.0,60.0,292.53857421875,9.671868324279785,21.52857142857143,28.4,17.02857142857143,3.185714285714285,326.1428571428572,7.428571428571429,0.4
2015-07-12,292.0,20.0,292.6771240234375,8.658209800720215,21.24285714285714,28.14285714285714,16.94285714285714,4.3,336.4285714285714,7.428571428571429,0.0
2015-07-19,97.0,80.0,292.2285766601562,19.13863372802734,22.54285714285714,29.87142857142857,18.1,3.742857142857143,332.4285714285714,7.428571428571429,0.0
2015-07-26,145.0,120.0,292.3299865722656,7.85699987411499,22.7,28.71428571428571,18.4,4.5,347.4285714285714,7.857142857142857,0.04285714285714286
2015-08-02,128.0,20.0,291.9985656738281,6.521821975708008,22.85714285714286,29.24285714285714,18.8,4.2,286.7142857142857,7.428571428571429,0.0
2015-08-09,70.0,40.0,291.6971435546875,7.088574409484863,22.67142857142857,30.12857142857143,17.4,3.914285714285715,300.7142857142857,8.0,0.0
2015-08-16,95.0,300.0,291.1728515625,7.90812873840332,21.3,27.32857142857143,17.35714285714286,3.6,328.7142857142857,7.285714285714286,0.0
2015-08-23,76.0,20.0,291.2442626953125,7.666141033172607,22.11428571428571,28.6,18.02857142857143,3.814285714285714,324.7142857142857,7.285714285714286,0.5571428571428572
