Date,dsp_toxins,asp_toxins,psp_toxins
2015-01-11,49.0,1.8,71.0
2015-01-18,73.0,1.8,71.0
2015-01-25,58.0,1.8,71.0
2015-02-01,49.0,1.8,71.0
2015-02-08,68.0,1.8,71.0
2015-02-15,50.0,1.8,71.0
2015-02-22,45.0,1.8,71.0
2015-03-01,36.0,1.8,71.0
2015-03-08,36.0,,
2015-03-15,36.0,,
2015-03-22,36.0,1.8,71.0
2015-03-29,27.0,1.8,71.0
2015-04-05,24.0,1.8,71.0
2015-04-12,61.0,32.0,71.0
2015-04-19,65.0,3.0,71.0
2015-04-26,186.0,1.8,71.0
2015-05-03,199.0,1.8,71.0
2015-05-10,139.0,1.8,71.0
2015-05-17,775.0,1.8,71.0
2015-05-24,284.0,1.8,71.0
2015-05-31,125.0,1.8,
2015-06-07,96.0,1.8,71.0
2015-06-14,85.0,1.8,71.0
2015-06-21,127.0,1.8,71.0
2015-06-28,341.0,1.8,71.0
2015-07-05,237.0,1.8,71.0
2015-07-12,82.0,1.8,71.0
2015-07-19,67.0,1.8,71.0
2015-07-26,124.0,1.8,71.0
2015-08-02,187.0,1.8,71.0
2015-08-09,435.0,1.8,71.0
2015-08-16,567.0,1.8,71.0
2015-08-23,432.0,1.8,71.0
2015-08-30,270.0,1.8,71.0
2015-09-06,405.5,1.8,71.0
2015-09-13,503.0,1.8,71.0
2015-09-20,301.0,1.8,71.0
2015-09-27,409.0,1.8,71.0
2015-10-04,251.0,1.8,71.0
2015-10-11,202.0,1.8,71.0
2015-10-18,170.0,1.8,
2015-10-25,314.0,1.8,
2015-11-01,189.0,1.8,71.0
2015-11-08,342.0,1.8,71.0
2015-11-15,237.0,1.8,71.0
2015-11-22,219.0,1.8,344.0
2015-11-29,179.0,1.8,894.0
2015-12-06,155.0,1.8,570.0
2015-12-13,75.0,1.8,143.0
2015-12-20,44.0,1.8,151.0
2015-12-27,122.0,1.8,71.0
2016-01-03,118.0,1.8,71.0
2016-01-10,61.0,1.8,71.0
2016-01-17,49.0,1.8,71.0
2016-01-24,41.0,1.8,71.0
2016-01-31,64.0,1.8,71.0
2016-02-07,61.0,1.8,71.0
2016-02-14,18.0,1.8,71.0
2016-02-21,58.0,1.8,71.0
2016-02-28,28.0,1.8,71.0
2016-03-06,51.0,1.8,71.0
2016-03-13,42.0,1.8,71.0
2016-03-20,36.0,1.8,71.0
2016-03-27,57.0,1.8,71.0
2016-04-03,177.0,1.8,71.0
2016-04-10,340.0,1.8,71.0
2016-04-17,453.0,1.8,71.0
2016-04-24,376.0,1.8,71.0
2016-05-01,508.0,1.8,71.0
2016-05-08,605.0,1.8,71.0
2016-05-15,548.3333333333334,,
2016-05-22,491.6666666666667,,
2016-05-29,435.0,1.8,71.0
2016-06-05,188.0,1.8,71.0
2016-06-12,306.0,1.8,71.0
2016-06-19,574.0,3.2,71.0
2016-06-26,234.0,4.3,71.0
2016-07-03,181.0,1.8,71.0
2016-07-10,185.0,1.8,71.0
2016-07-17,96.0,1.8,71.0
2016-07-24,82.0,1.8,71.0
2016-07-31,90.0,1.8,71.0
2016-08-07,63.0,1.8,71.0
2016-08-14,232.0,1.8,71.0
2016-08-21,313.0,1.8,71.0
2016-08-28,290.0,1.8,71.0
2016-09-04,897.0,1.8,71.0
2016-09-11,850.0,1.8,71.0
2016-09-18,838.0,1.8,71.0
2016-09-25,845.0,1.8,71.0
2016-10-02,739.0,1.8,71.0
2016-10-09,850.0,1.8,71.0
2016-10-16,850.0,1.8,71.0
2016-10-23,756.0,1.8,71.0
2016-10-30,879.0,1.8,71.0
2016-11-06,679.0,1.8,71.0
2016-11-13,706.0,1.8,71.0
2016-11-20,325.0,1.8,71.0
2016-11-27,201.0,1.8,71.0
2016-12-04,190.0,1.8,71.0
2016-12-11,171.0,1.8,498.0
2016-12-18,192.0,1.8,2679.0
2016-12-25,49.0,1.8,2097.0
2017-01-01,73.0,1.8,3283.0
2017-01-08,240.0,1.8,229.0
2017-01-15,143.5,,
2017-01-22,47.0,1.8,1879.0
2017-01-29,46.0,1.8,1529.0
2017-02-05,237.33333333333334,1.8,1404.6666666666667
2017-02-12,410.0,1.8,104.0
2017-02-19,36.0,1.8,978.0
