Date,dsp_toxins_Berbigão,asp_toxins_Berbigão,psp_toxins_Berbigão,dsp_toxins_Mexilhão,asp_toxins_Mexilhão,psp_toxins_Mexilhão
2017-01-01,36.0,1.8,1521.0,73.0,1.8,3283.0
2017-01-08,36.0,1.8,26.0,240.0,1.8,229.0
2017-01-15,,,,143.5,,
2017-01-22,36.0,1.8,1236.0,47.0,1.8,1879.0
2017-01-29,36.0,1.8,875.0,46.0,1.8,1529.0
2017-02-05,144.66666666666666,2.5,975.3333333333334,237.33333333333334,1.8,1404.6666666666667
2017-02-12,118.0,5.3,84.0,410.0,1.8,104.0
2017-02-19,36.0,1.8,222.0,36.0,1.8,978.0
2017-02-26,36.0,1.8,71.0,36.0,1.8,417.0
2017-03-05,36.0,1.8,71.0,41.0,1.8,71.0
2017-03-12,138.0,1.8,71.0,481.0,1.8,71.0
2017-03-19,36.0,1.8,71.0,38.0,1.8,141.0
2017-03-26,36.0,1.8,71.0,66.0,1.8,71.0
2017-04-02,36.0,1.8,71.0,36.0,1.8,71.0
2017-04-09,155.0,1.8,104.0,625.0,1.8,143.0
2017-04-16,,,,623.5,,
2017-04-23,625.0,7.2,71.0,622.0,1.8,71.0
2017-04-30,625.0,12.4,71.0,625.0,4.9,71.0
2017-05-07,77.0,1.8,,237.0,,71.0
2017-05-14,,,,431.0,,
2017-05-21,319.0,1.8,71.0,625.0,1.8,71.0
2017-05-28,82.0,1.8,71.0,625.0,1.8,71.0
2017-06-04,46.666666666666664,1.8,280.5,165.0,1.8,580.3333333333334
2017-06-11,,,,199.66666666666666,,
2017-06-18,81.0,1.8,,234.33333333333331,1.8,
2017-06-25,43.0,1.8,,269.0,1.8,71.0
2017-07-02,207.0,1.8,,514.0,1.8,71.0
2017-07-09,215.0,1.8,71.0,225.0,1.8,71.0
2017-07-16,,,,294.5,,
2017-07-23,80.0,,71.0,364.0,,71.0
2017-07-30,264.0,1.8,71.0,359.0,1.8,71.0
2017-08-06,206.0,1.8,71.0,625.0,1.8,71.0
2017-08-13,,,,520.0,,
2017-08-20,292.0,32.4,61.0,415.0,18.8,90.0
